Gen_ACCESSCMT	Gen_COMMENTS	s_Generation	s_GUID	s_Lineage	ACCESSION	PARA_SPEC	PARA_GENUS	HOST_SPEC	HOST_GENUS	CLASS	BODY_LOC	HOSTTAXON	ORIGFLDNO	MUSEUMNO	FIXATIVE	STAINS	MOUNTANT	LOCAL_GEO	LOCAL_POL	LOCAL_MAP	LATDEG	LATMIN	LATSEC	LATDIR	LONGDEG	LONGMIN	LONGSEC	LONGDIR	TYPE_STAT	STORAGE_NO	COLLECTOR	COLL_DATE	IDENTIFIER	IDENT_DATE	DONOR	BORROWER	LOAN_DATE	Create_D	STAGE	SEX	COMMENTS	ACCESSCMT
			{726AD652-A992-11D3-A891-0080296707ED}		89395	:	GYRODACTYLUS	PALEATUS	CORYDORAS	MONOGENEA	EXTERNAL SURFACE		FPopazoglo-FP56-1					SOUTH AMERICA	BRAZIL,PR,RO PIRAQUARA										PARATYPE	MT30:11 A	POPAZOGLO, F	2-Mar-93	POPAZOGLO; BOEGER, W A	17-Nov-99	68	0		12/3/99			sp. n., 1 slide, Paratype.   FPopazoglo-FP 56-1.	
			{95AFC57B-FD07-472F-A395-7C5B58F6698C}		92198.01	? MEYERI	LONGISTRONGYLUS	CAFFER	SYNCERUS	NEMATODA	ABOMASUM	MAMMALIA-ARTIODACTYLA-BOVIDAE	JBindernagel-QE-5		Formalin			AFRICA	Uganda,Toro Dist.,Queen Elizabeth Nat. Park		0	19	0	N	32	58	0	E	VOUCHERS	MT2390-B	BINDERNAGEL, J	20-Jun-66	ABRAMS, A	18 APR 202	0	0		4/22/02	Adult 3 females, 2 post. F ends		1 vial, vouchers, 3 whole females, 2 female post. ends.  Bindernagel-QE-5, male (vial 32).  Tentative ID based on body length & tail.  See Hoberg, Abrams, & Pilitt, 2009b (Longistrongylus) - this may be a new species. NOTE: See Document-486 for Bindernagel Collection: correspondence of African accessions & drawings of specimens by WWBecklund.	
			{B538603F-B64C-4FCC-BBF9-FBD416B50DB3}		102966	?CHAVENONI	OOCHORISTICA	PICTA	PAROEDURA	CESTODA	sm intestine		PSFreed-4	Not yet avail (Carnegie Mus Nat Hist, Pittsburgh)		Carmine	Dammar (xylo & gum)	AFRICA	Madagascar,Tulear (Toliara)					N				W	VOUCHERS	SH231:2-97/99	FREED, Paul S	28-May-89	BURSEY, C R	22-Mar-10	50	0		3/24/10	Adult		3 slides, vouchers.  PSFreed-4.  Host to be deposited in the Carnegie Museum of Natural History, Pittsburgh, PA.  Slides were prepared by C.T. McAllister in 1989, acetocarmine, dammar.	
			{F2FC521C-C390-46D4-82FE-F6E718D41F5A}		76724.02	"CUPATUM" group	PSEUDORHABDOSYNOCHUS	FARIO*	EPINEPHELUS	MONOGENEA	GILLS	Pisces: Perciformes: Serranidae	MBeverly-Burton-3					South.China Sea	China, near Hongkong										VOUCHER	MT22:23 C			JUSTINE, J-L	1-Aug-08		0		12/9/08			REDETERMINATION of specimen on slide MT22-23 C.   MBeverly-Burton-slide 3. Pub Justine, 2009, Syst Parasitol 72: 27-55. NOTES: Justine saw only a single specimen that he referred to as P cuplatus-like.  *E. fario is not a valid name; E. longispinus (is not present off HongKong) & E. trimaculatus have been misidentified under the name. It is possible that this host may have been E. quoyanus which is compatable with presence of both a P. cupatus group and a P. justinei (76727).	
			{143EECDC-7B9A-4F29-ADD0-CAA24E2065FC}		98240	"OTIDIS"	MEDIORHYNCHUS		OTIDIS=OTIS?	ACANTHOCEPHALA			VanCleave-1618					EUROPE	Germany,Berlin Museum					N				W	VOUCHER	SH221:22-46			VAN CLEAVE, H J COLLECTION		0	0		6/5/06	Adult male		1 slide, voucher, male.   VC-1618, Otis (?).   Found in Van Cleave Collection.  Note: The genus Otidis is an old generic name of a bird: not found in Birds of the World, 1991.	
			{0A80C13F-883E-41D6-B512-656F66DF1AFF}		100672	(?) PAPILLIFERA	DENDROUTERINA	THULA	EGRETTA	CESTODA	intestine		Ortega-Olivares-020406			Hematoxylin	Canada balsam	NORTH AMERICA	Mexico,Yuc.,Lagua Carbonera		21	11	0	N	89	56	0	W	VOUCHER	272A-21	ORTEGA-OLIVARES, M	23-Nov-04	SCHOLZ, T	10-Mar-08	8	0		3/11/08			1 slide, voucher.  Ortega-Olivares-020406.  Pub Ortega-Olivares et al., 2008, Comp. Parasitology 75(2): 182-195.	
			{AC299E40-7CBC-44F1-B45B-1C6E3F295980}		97553	(not D. spathaceum)	DIPLOSTOMIDAE	ARGENTATUS	LARUS	DIGENEA	INTESTINE		EPButler-314c					NORTH AMERICA	USA,MI,GULL ISLAND										VOUCHER	219A-5	BUTLER, E P		OSTROWSKI, M	20-Feb-06				3/15/06			1 slide (1 specimen), vouchers.  EPButler-314c.  Specimens mounted by Margarita Ostrowski de Nunez. This bird also had a strigeid and S. denticulata (see 95752, 97554).  Removed from 55151 (multiple bird individual hosts).  Also see 97552-97556 for other species removed from 55151.	
1	1	1	{AAD23D27-8A0C-11D2-A88F-0080296707ED}		18293	ACUMINATA =LINTONI	DIORCHIS	AMERICANA	MARILA =AYTHYA	CESTODA	INTESTINE							NORTH AMERICA	USA,Washington,DC,Natl. Zool. Park										VOUCHER	373-9; 1833-D	GILTNER, L T		GARLOUGH, L N	17-Jan-18		0					1 slide, 1 vial, vouchers.	
1	1	1	{AAD23035-8A0C-11D2-A88F-0080296707ED}		9344	ADPLICATUM =PLICITUM	BIANIUM	ANNULATUS	CHEILICHTHYS	DIGENEA	INTESTINE		HWManter-G141					PACIFIC OCEAN	GALAPAGOS,ALBEMARLE ISLAND										TYPE	162-25	MANTER, H W		MANTER, H W	12-Dec-39		0					sp. n., 1 slide, Type.  HWManter-G141.  ( Yamaguti lists as syn of B. plicitum.)	
1	1	1	{AAD21B42-8A0C-11D2-A88F-0080296707ED}		1928	AMBIGUA  =AMBIGUUS	OXYURIS  =PASSALURUS	SYLVATICUS	LEPUS	NEMATODA								NORTH AMERICA	USA,WASHINGTON,DC										VOUCHER	112-B	HASSALL, A	29 JUL 1891	STILES, C W; HASSALL, A	06 AUG 1896		0					1 vial, vouchers.	
1	1	1	{AAD21B46-8A0C-11D2-A88F-0080296707ED}		1932	AMBIGUA  =AMBIGUUS	OXYURIS  =PASSALURUS	CUNICULUS	LEPUS	NEMATODA								NORTH AMERICA	USA,WASHINGTON, DC										VOUCHER	113-A	HASSALL, A	02 SEP 1891	STILES, C W; HASSALL, A			0					1 vial, vouchers.	
1	1	1	{AAD23F44-8A0C-11D2-A88F-0080296707ED}		18795	AMERICANUM  =LATUM	DIPHYLLOBOTHRIUM	FAMILIARIS	CANIS	CESTODA	SM INTESTINE							NORTH AMERICA	USA,MI,DETROIT										VOUCHER	86-18/19; 1850-A	HALL, M C; WIGDOR, M	27-Jul-17	HALL, M C; WIGDOR, M	1-Jun-18		0					2 slides, 1 vial, vouchers.	
1	1	1	{AAD24250-8A0C-11D2-A88F-0080296707ED}		24545	AMERICANUM =LATUM	DIPHYLLOBOTHRIUM	FAMILIARIS	CANIS	CESTODA	SM INTESTINE							NORTH AMERICA	USA,MI,DETROIT										TYPE	T119-23/24	HALL, M C; WIGDOR, M	27-Jul-17	HALL, M C; WIGDOR, M	Jun-18		0					sp. n., 2 slides, Type.	
1	1	1	{AAD23165-8A0C-11D2-A88F-0080296707ED}		9786	AMERICANUS  =MINIATUS	ARGAS	DOMESTICUS	GALLUS	ARTHROPODA																			VOUCHER	817-14/15	CRAWFORD, S		STILES, C W	2-Aug-05		0					2 slides, vouchers.  Argas americanus =Argas minitatus, chicken tick.	
1	1	1	{AAD2315F-8A0C-11D2-A88F-0080296707ED}		9775	AMERICANUS =MINIATUS	ARGAS			ARTHROPODA								NORTH AMERICA	USA,CA										VOUCHER	817-8			STILES, C W	7-Sep-05		0					1 slide, voucher.   Argas americnaus = Argas miniatus.	
1	1	1	{AAD23088-8A0C-11D2-A88F-0080296707ED}		9465	ANDERSONI  =OCCIDENTALIS	DERMACENTOR		RABBIT	ARTHROPODA								NORTH AMERICA	USA,MT,POLARIS										VOUCHER	809-1/3; P3-G	POINDEXTER, F M	1904	STILES, C W	15-Jul-04		0					3 slides, 1 vial, vouchers.  Dermacentor andersoni = occidentalis.	
1	1	1	{AAD23089-8A0C-11D2-A88F-0080296707ED}		9466	ANDERSONI =OCCIDENTALIS	DERMACENTOR			ARTHROPODA								NORTH AMERICA	USA,MT,VICTOR										VOUCHER	809-4	BUCKLEY, J J	28-May-04	STILES, C W	15-Jul-04		0					1 slide, voucher.  Dermacentor andersoni = occidentalis.	
1	1	1	{AAD24484-8A0C-11D2-A88F-0080296707ED}		25081	APPENDICULATUM =APPENDICULOIDES	PROHEMISTOMUM =MESOSTEPHANUS	FAMILIARIS	CANIS	DIGENEA	INTESTINE		JCiruea-2					ASIA	ROMANIA										VOUCHER	2016-D	CIUREA, J	1914	CIUREA, J	8-Sep-22		0					1 vial, voucher.   JCiruea-2.  Original record lists host as grele chien (small dog).  Pub. Ciurea, 1916 in German as infection of dogs and cats by feeding freshwater fish.	
1	1	1	{AAD3352C-8A0C-11D2-A88F-0080296707ED}		3254	ARMATUM =EQUINUS	SCLEROSTOMUM =STRONGYLUS	CABALLUS	EQUUS	NEMATODA																			VOUCHER	2-C		1901	STILES, C W	12-Aug-01		0					1 vial, vouchers.  Abattoir 165.	
1	1	1	{AAD21DD4-8A0C-11D2-A88F-0080296707ED}		2542	ARMATUS =EQUINUS	STRONGYLUS	CABALLUS	EQUUS	NEMATODA								NORTH AMERICA	USA,IL,BLOOMINGTON										VOUCHER	Sh23-1	WILLIAMS & BRODIE		CURTICE, C			0					1 vial, vouchers.	
1	1	1	{AAD2BA60-8A0C-11D2-A88F-0080296707ED}		57179	ARMATUS =EQUINUS	STRONGYLUS	CABALLUS	EQUUS	NEMATODA								AUSTRALIA	BOTANY										VOUCHER	4747-G	COBB, N A COLLECTION	JUN 1892				0					1 vial.	
1	1	1	{AAD31E82-8A0C-11D2-A88F-0080296707ED}		82235	AURICULATUM (=LINTONI)	CREPIDOSTOMUM	FULVESCENS	ACIPENSER	DIGENEA	SM INTESTINE				AFA	Carmine	Canada balsam	NORTH AMERICA	CANADA,MANITOBA,NELSON RIVER										VOUCHER	M1589-20/21	CHOUDHURY, A; DICK, T A	17-Jul-89	CHOUDHURY, A; DICK, T A	16-Feb-92		0					2 slides, vouchers.  Host: lake sturgeon.    AFA-Acetocarmine Pub CJZ?	
1	1	1	{AAD31E83-8A0C-11D2-A88F-0080296707ED}		82236	AURICULATUM (=LINTONI)	CREPIDOSTOMUM	FULVESCENS	ACIPENSER	DIGENEA	SM INTESTINE				AFA	Carmine	Canada balsam	NORTH AMERICA	CANADA,SASK. RIVER, CUMBERLAND HOUSE										VOUCHER	M1590-1/6	CHOUDHURY, A; DICK, T A	23-Jun-89	CHOUDHURY, A; DICK, T A	16-Feb-92		0					6 slides, vouchers.  Host: lake sturgeon.  AFA-Acetocarmine. Pub CJZ?	
1	1	1	{AAD33C14-8A0C-11D2-A88F-0080296707ED}		85721	AURICULATUM (=LINTONI)	CREPIDOSTOMUM	FULVESCENS	ACIPENSER	DIGENEA	INTESTINE				AFA	Carmine	Canada balsam	NORTH AMERICA	USA,WI,LAKE WINNEBAGO										VOUCHER	M1668-2/7		Jun-92	CHOUDHURY; DICK, T A	16-Oct-95		0		10/23/95			7 slide, , voucher.  Host: lake sturgeon.  AFA/acetocarmine.  Pub. Amer Midland Nat.  Syn of C. lintoni	
